formula_pretty,nelements,structure_count,nsites_min,nsites_median,nsites_max,elements
LiCoP2O7,4,22,11,44.0,44,Co Li O P
MgFe8(O7F)2,4,22,25,25.0,25,F Fe Mg O
LiFe(PO3)4,4,22,36,36.0,72,Fe Li O P
LiMn(PO3)4,4,22,18,36.0,72,Li Mn O P
V3OF11,3,22,15,30.0,30,F O V
V4(OF3)3,3,22,16,24.0,32,F O V
Mn3(O2F)2,3,22,18,18.0,18,F Mn O
VOF2,3,22,8,24.0,24,F O V
MoW(SeS)2,4,22,6,12.0,12,Mo S Se W
Te2MoWS2,4,22,6,12.0,12,Mo S Te W
Li2CoP2O7,4,21,24,48.0,96,Co Li O P
MgV4O8,3,21,13,13.0,13,Mg O V
Mg(FeO2)2,3,21,7,28.0,98,Fe Mg O
LiMg,2,21,2,6.0,6,Li Mg
CaMn2O4,3,21,7,28.0,56,Ca Mn O
VCrO3,3,21,10,20.0,20,Cr O V
Li(CoO2)2,3,21,7,14.0,56,Co Li O
LiSiBiO4,4,21,14,42.0,84,Bi Li O Si
LiVPO5,4,21,16,32.0,64,Li O P V
Ti17(NO4)6,3,21,47,94.0,94,N O Ti
Fe2OF3,3,21,12,24.0,30,F Fe O
V3O5F,3,21,9,18.0,18,F O V
Mn3(OF2)2,3,21,18,18.0,18,F Mn O
Fe4O5F3,3,21,12,24.0,24,F Fe O
SbO2,2,21,3,24.0,48,O Sb
Mg9Si5,2,21,28,28.0,28,Mg Si
TiCrCuS4,4,21,7,28.0,56,Cr Cu S Ti
HfCrCuS4,4,21,7,28.0,56,Cr Cu Hf S
NbCr3(CuS4)2,4,21,14,28.0,56,Cr Cu Nb S
NbCr3(AgS4)2,4,21,14,28.0,56,Ag Cr Nb S
Ca(H8O5)2,3,20,54,54.0,54,Ca H O
WO2,2,20,3,30.0,102,O W
VF4,2,20,5,15.0,40,F V
NaNbO3,3,20,5,20.0,120,Na Nb O
Mg(CoO2)2,3,20,7,14.0,56,Co Mg O
MgCr2O4,3,20,7,14.0,56,Cr Mg O
PbS,2,20,2,4.0,8,Pb S
SrMg,2,20,2,4.0,6,Mg Sr
Li8Mn7Fe(BO3)8,5,20,48,48.0,48,B Fe Li Mn O
Fe5O7F3,3,20,30,30.0,30,F Fe O
Li4Mn3Fe(BO3)4,5,20,24,48.0,48,B Fe Li Mn O
Co2OF3,3,20,12,24.0,30,Co F O
Fe10O11F9,3,20,30,30.0,30,F Fe O
Ti2N2O,3,20,20,40.0,40,N O Ti
ZrO2,2,20,3,12.0,90,O Zr
Mn3O5F,3,20,18,18.0,18,F Mn O
Li2VF6,3,20,9,22.5,72,F Li V
Mn2O3F,3,20,6,24.0,30,F Mn O
V6O7F5,3,20,18,18.0,18,F O V
V6O5F19,3,20,30,30.0,30,F O V
VO2F,3,20,4,24.0,32,F O V
Fe10O9F11,3,20,30,30.0,30,F Fe O
Li2FeSiO4,4,20,16,32.0,64,Fe Li O Si
LaMnO3,3,20,5,20.0,20,La Mn O
H4N2O3,3,20,9,36.0,72,H N O
H2,1,19,1,2.0,32,H
Ag2S,2,19,3,6.0,12,Ag S
Ca(NiO2)2,3,19,14,14.0,56,Ca Ni O
BiO2,2,19,3,12.0,48,Bi O
V4O7F5,3,19,16,16.0,32,F O V
