formula_pretty,nelements,structure_count,nsites_min,nsites_median,nsites_max,elements
TiInPt2,3,1,4,0.0,4,In Pt Ti
TiMnCr,3,1,12,0.0,12,Cr Mn Ti
U2Ga3Cu,3,1,6,0.0,6,Cu Ga U
U2Si7Ni2,3,1,11,0.0,11,Ni Si U
TiCoNiSn,4,1,4,0.0,4,Co Ni Sn Ti
U(Fe5Mo)2,3,1,13,0.0,13,Fe Mo U
Tl4SbAs3Se8,4,1,16,0.0,16,As Sb Se Tl
TmScGe,3,1,18,0.0,18,Ge Sc Tm
U4SiNi7,3,1,12,0.0,12,Ni Si U
TlGeSbO5,4,1,64,0.0,64,Ge O Sb Tl
U(AlFe)6,3,1,13,0.0,13,Al Fe U
TiCr,2,1,2,0.0,2,Cr Ti
V9InS12,3,1,44,0.0,44,In S V
V3Bi(PbO4)3,4,1,38,0.0,38,Bi O Pb V
TiCrAs2,3,1,4,0.0,4,As Cr Ti
TiVFe,3,1,12,0.0,12,Fe Ti V
Tm2Ti12(CuO4)9,4,1,59,0.0,59,Cu O Ti Tm
TiCrB4,3,1,6,0.0,6,B Cr Ti
W7N6,2,1,26,0.0,26,N W
U5B4Rh15,3,1,24,0.0,24,B Rh U
V20Ga2Ge3S40,4,1,65,0.0,65,Ga Ge S V
TiGaCu,3,1,6,0.0,6,Cu Ga Ti
Tm7Mg3Ge8,3,1,36,0.0,36,Ge Mg Tm
TiCr3Te4,3,1,8,0.0,8,Cr Te Ti
V2FeGe,3,1,8,0.0,8,Fe Ge V
TmIn7Cu5,3,1,13,0.0,13,Cu In Tm
U4CuTe12,3,1,17,0.0,17,Cu Te U
TiFeBiPbO6,5,1,10,0.0,10,Bi Fe O Pb Ti
TiCr3(CuSe4)2,4,1,14,0.0,14,Cr Cu Se Ti
U2MnCoSe6,4,1,10,0.0,10,Co Mn Se U
U12FeNi,3,1,14,0.0,14,Fe Ni U
Tm2Mn12GaGe11,4,1,26,0.0,26,Ga Ge Mn Tm
TiFe4,2,1,5,0.0,5,Fe Ti
Tm(VFe5)2,3,1,13,0.0,13,Fe Tm V
V12Ag5O32,3,1,49,0.0,49,Ag O V
U5ClO12,3,1,36,0.0,36,Cl O U
TiCoCuS4,4,1,14,0.0,14,Co Cu S Ti
U2Co3CuGe4,4,1,10,0.0,10,Co Cu Ge U
Tm6Mn(GeS7)2,4,1,23,0.0,23,Ge Mn S Tm
V(Cr7S10)2,3,1,35,0.0,35,Cr S V
Zr5Ti5Pb6,3,1,16,0.0,16,Pb Ti Zr
VH26(C3O)4,4,1,86,0.0,86,C H O V
U3TiS6,3,1,20,0.0,20,S Ti U
UAl3Fe7Si2,4,1,13,0.0,13,Al Fe Si U
Tm9B5S21,3,1,70,0.0,70,B S Tm
V4Fe2HO12,4,1,38,0.0,38,Fe H O V
USi3Ni2,3,1,12,0.0,12,Ni Si U
Tm4Co3,2,1,21,0.0,21,Co Tm
TiAl2Zn,3,1,4,0.0,4,Al Ti Zn
TiBe4Nb,3,1,6,0.0,6,Be Nb Ti
V2(B24C)3,3,1,154,0.0,154,B C V
V2GePb5O12,4,1,40,0.0,40,Ge O Pb V
TiNi5(BO5)2,4,1,36,0.0,36,B Ni O Ti
TiAl2V,3,1,4,0.0,4,Al Ti V
TiAl6Mo,3,1,8,0.0,8,Al Mo Ti
TiBeB,3,1,3,0.0,3,B Be Ti
U2TeSeS2,4,1,12,0.0,12,S Se Te U
TiB2W,3,1,4,0.0,4,B Ti W
Ti6PtAu,3,1,8,0.0,8,Au Pt Ti
TiAlN2,3,1,4,0.0,4,Al N Ti
TiB4Mo,3,1,6,0.0,6,B Mo Ti
TiB2Mo,3,1,4,0.0,4,B Mo Ti
TlCu3Te2,3,1,48,0.0,48,Cu Te Tl
TiBi2(O2F)2,4,1,9,0.0,9,Bi F O Ti
U(Fe5Re)2,3,1,13,0.0,13,Fe Re U
TiAlV2,3,1,4,0.0,4,Al Ti V
TiAl3Ge,3,1,10,0.0,10,Al Ge Ti
U4(TeSe)3,3,1,20,0.0,20,Se Te U
Tl2Mo2P2O11,4,1,68,0.0,68,Mo O P Tl
UPClO6,4,1,36,0.0,36,Cl O P U
UFe5Si2Ni5,4,1,13,0.0,13,Fe Ni Si U
U(AlCu)6,3,1,13,0.0,13,Al Cu U
V4(CrS2)5,3,1,19,0.0,19,Cr S V
Tl3In3SnSe8,4,1,15,0.0,15,In Se Sn Tl
TiAlVC,4,1,8,0.0,8,Al C Ti V
U2(CuNi)5,3,1,12,0.0,12,Cu Ni U
TiAlNi6,3,1,8,0.0,8,Al Ni Ti
U(SiNi5)2,3,1,13,0.0,13,Ni Si U
U2Cu3Si4Ni,4,1,10,0.0,10,Cu Ni Si U
Ti8N5,2,1,13,0.0,13,N Ti
TiAl2Cr3C2,4,1,8,0.0,8,Al C Cr Ti
U2(InSn)3,3,1,8,0.0,8,In Sn U
Tm4Fe34C3,3,1,41,0.0,41,C Fe Tm
Ti6P2O,3,1,9,0.0,9,O P Ti
TiC2,2,1,3,0.0,3,C Ti
TiAlFeO5,4,1,16,0.0,16,Al Fe O Ti
U7V5Ag3O35,4,1,50,0.0,50,Ag O U V
U2MnNiSe6,4,1,10,0.0,10,Mn Ni Se U
UH2Cl2O3,4,1,16,0.0,16,Cl H O U
Y10Ga3Co7,3,1,40,0.0,40,Co Ga Y
TiCo3(BO4)2,4,1,28,0.0,28,B Co O Ti
Ti7B8(IrRh2)2,4,1,21,0.0,21,B Ir Rh Ti
TiCoNi2,3,1,16,0.0,16,Co Ni Ti
Ti8Cu3Ni,3,1,12,0.0,12,Cu Ni Ti
Ti2Be3Ga,3,1,6,0.0,6,Be Ga Ti
Ti3S2,2,1,5,0.0,5,S Ti
Ti2HC,3,1,4,0.0,4,C H Ti
Ti3ZnHg4,3,1,8,0.0,8,Hg Ti Zn
Ti2AlGe3,3,1,6,0.0,6,Al Ge Ti
Ti2Si6W,3,1,9,0.0,9,Si Ti W
Ti2Si6Mo,3,1,9,0.0,9,Mo Si Ti
TiCr2P3,3,1,24,0.0,24,Cr P Ti
Ti3B4Mo3,3,1,10,0.0,10,B Mo Ti
U2CoSe2S3,4,1,16,0.0,16,Co S Se U
TiAlNi,3,1,12,0.0,12,Al Ni Ti
TiMn(Ni2Sn)2,4,1,8,0.0,8,Mn Ni Sn Ti
Tm2Mn12InSn11,4,1,26,0.0,26,In Mn Sn Tm
TiAlCr,3,1,12,0.0,12,Al Cr Ti
Ti2AlSi3,3,1,6,0.0,6,Al Si Ti
Ti3Nb3Sn2,3,1,8,0.0,8,Nb Sn Ti
Ti3B4Mo,3,1,8,0.0,8,B Mo Ti
Ti2FeCu,3,1,4,0.0,4,Cu Fe Ti
Ti2NiPd,3,1,4,0.0,4,Ni Pd Ti
Ti4CuAg,3,1,6,0.0,6,Ag Cu Ti
Ti8Al4CN3,4,1,16,0.0,16,Al C N Ti
Ti3MoAs4,3,1,8,0.0,8,As Mo Ti
Ti3Nb(AlC)2,4,1,8,0.0,8,Al C Nb Ti
Ti4C3N,3,1,8,0.0,8,C N Ti
Ti2MnZnO6,4,1,40,0.0,40,Mn O Ti Zn
Ti3O8,2,1,11,0.0,11,O Ti
Ti4CN3,3,1,8,0.0,8,C N Ti
Ti4B2N3,3,1,9,0.0,9,B N Ti
Ti4Al11Zn,3,1,16,0.0,16,Al Ti Zn
Ti4Ru,2,1,5,0.0,5,Ru Ti
Ti5Al11,2,1,16,0.0,16,Al Ti
Ti2CrSi6,3,1,9,0.0,9,Cr Si Ti
Ti3Ir2,2,1,10,0.0,10,Ir Ti
Ti2AsP,3,1,8,0.0,8,As P Ti
Ti3WC4,3,1,8,0.0,8,C Ti W
Ti3Se,2,1,4,0.0,4,Se Ti
Ti4V,2,1,5,0.0,5,Ti V
Ti3(TeSe)2,3,1,7,0.0,7,Se Te Ti
Ti2MnNiO6,4,1,20,0.0,20,Mn Ni O Ti
Ti2FeNiSb2,4,1,6,0.0,6,Fe Ni Sb Ti
Ti3WC3N,4,1,8,0.0,8,C N Ti W
Ti2Co3Sn2,3,1,7,0.0,7,Co Sn Ti
Ti4GaC3,3,1,16,0.0,16,C Ga Ti
Ti4Fe2P3,3,1,9,0.0,9,Fe P Ti
Ti2MnFeO6,4,1,10,0.0,10,Fe Mn O Ti
Ti4WC5,3,1,10,0.0,10,C Ti W
U2B9O22,3,1,33,0.0,33,B O U
Ti5CN4,3,1,10,0.0,10,C N Ti
Ti3VS4,3,1,8,0.0,8,S Ti V
Ti4O3,2,1,7,0.0,7,O Ti
Ti8Al15Rh7,3,1,30,0.0,30,Al Rh Ti
Ti3V2Si3,3,1,16,0.0,16,Si Ti V
Ti3Mn(CuS4)2,4,1,14,0.0,14,Cu Mn S Ti
Ti3(SeS2)2,3,1,9,0.0,9,S Se Ti
Ti4Al2CN,4,1,8,0.0,8,Al C N Ti
Ti2CN,3,1,4,0.0,4,C N Ti
Ti3AgS6,3,1,10,0.0,10,Ag S Ti
Ti4AlGe7,3,1,12,0.0,12,Al Ge Ti
Tl(CoSb3)16,3,1,65,0.0,65,Co Sb Tl
Ti3VS6,3,1,10,0.0,10,S Ti V
Ti4GaCo2Si,4,1,8,0.0,8,Co Ga Si Ti
Ti2Cr3Si,3,1,12,0.0,12,Cr Si Ti
Ti3Cu2NiS8,4,1,14,0.0,14,Cu Ni S Ti
TiFe3Bi3PbO12,5,1,20,0.0,20,Bi Fe O Pb Ti
Ti4S8N,3,1,13,0.0,13,N S Ti
U2(PdAu)5,3,1,12,0.0,12,Au Pd U
V2SiPb5O12,4,1,40,0.0,40,O Pb Si V
Ti2CoNiSn2,4,1,6,0.0,6,Co Ni Sn Ti
Ti4Fe,2,1,5,0.0,5,Fe Ti
Ti2Co3Si,3,1,12,0.0,12,Co Si Ti
Ti3Co(CuS4)2,4,1,14,0.0,14,Co Cu S Ti
Ti2V2GaS8,4,1,13,0.0,13,Ga S Ti V
Ti4Pd,2,1,5,0.0,5,Pd Ti
Ti4CrC5,3,1,10,0.0,10,C Cr Ti
Ti3As2POs3,4,1,9,0.0,9,As Os P Ti
TiAlFe,3,1,12,0.0,12,Al Fe Ti
Ti4Mn2O,3,1,28,0.0,28,Mn O Ti
Ti8GaCo4Si3,4,1,16,0.0,16,Co Ga Si Ti
Ti5(CuS5)2,3,1,17,0.0,17,Cu S Ti
VH6SO10,4,1,36,0.0,36,H O S V
Ti3Fe,2,1,4,0.0,4,Fe Ti
Tl5Re6Se8Cl7,4,1,52,0.0,52,Cl Re Se Tl
Ti3CuSn,3,1,5,0.0,5,Cu Sn Ti
Y19Mg97,2,1,116,0.0,116,Mg Y
Ti3Sn5S12,3,1,20,0.0,20,S Sn Ti
Ti3Fe(CuS4)2,4,1,14,0.0,14,Cu Fe S Ti
U7Se12,2,1,19,0.0,19,Se U
Ti5Mn7,2,1,12,0.0,12,Mn Ti
Ti3Si3Mo2,3,1,16,0.0,16,Mo Si Ti
Ti3Fe5P4,3,1,12,0.0,12,Fe P Ti
Ti2AgBiO6,4,1,10,0.0,10,Ag Bi O Ti
Ti5Nb5Ge6,3,1,16,0.0,16,Ge Nb Ti
Ti5MnS10,3,1,16,0.0,16,Mn S Ti
Ti3AlNi12,3,1,16,0.0,16,Al Ni Ti
VCdNiP2O13,5,1,72,0.0,72,Cd Ni O P V
TiH20C8(NF3)2,5,1,37,0.0,37,C F H N Ti
Ti2Mn3V,3,1,12,0.0,12,Mn Ti V
Ti4Mn5V3,3,1,12,0.0,12,Mn Ti V
Ti3Cr9Si4,3,1,16,0.0,16,Cr Si Ti
TiBi8W(ClO8)2,5,1,28,0.0,28,Bi Cl O Ti W
Ti5CuS10,3,1,16,0.0,16,Cu S Ti
Ti2Fe2H3,3,1,7,0.0,7,Fe H Ti
UPBrO6,4,1,36,0.0,36,Br O P U
U3SiPt5,3,1,18,0.0,18,Pt Si U
Ti5CoSe10,3,1,16,0.0,16,Co Se Ti
TiAlCu,3,1,12,0.0,12,Al Cu Ti
Ti4MnS8,3,1,13,0.0,13,Mn S Ti
Zn7Cd2(PO4)6,4,1,156,0.0,156,Cd O P Zn
Ti3Bi6WO18,4,1,28,0.0,28,Bi O Ti W
U2Ga5Cu3,3,1,10,0.0,10,Cu Ga U
Ti2Sb2Pb4O13,4,1,21,0.0,21,O Pb Sb Ti
Ti3V3Si5,3,1,22,0.0,22,Si Ti V
Ti4FeCoS8,4,1,14,0.0,14,Co Fe S Ti
Ti4Co5Ni,3,1,10,0.0,10,Co Ni Ti
Ti4Co(PO4)6,4,1,35,0.0,35,Co O P Ti
Ti4Al11Ni,3,1,16,0.0,16,Al Ni Ti
Ti(Si3Mo)2,3,1,9,0.0,9,Mo Si Ti
V5FePbO11,4,1,36,0.0,36,Fe O Pb V
U6Cu3Ni3Sb8,4,1,20,0.0,20,Cu Ni Sb U
U2(SnPb)3,3,1,8,0.0,8,Pb Sn U
Ti8Co3NiSn4,4,1,16,0.0,16,Co Ni Sn Ti
Ti4FeBi3O14,4,1,44,0.0,44,Bi Fe O Ti
Ti2Al2CrCuS8,5,1,14,0.0,14,Al Cr Cu S Ti
TiBi8W(BrO8)2,5,1,28,0.0,28,Bi Br O Ti W
Ti2FeB2Ru4Rh,5,1,20,0.0,20,B Fe Rh Ru Ti
U3(PS4)4,3,1,46,0.0,46,P S U
Ti20(AlSi3)3,3,1,32,0.0,32,Al Si Ti
U3Te5(PbO4)8,4,1,48,0.0,48,O Pb Te U
Ti2FeB2Ru3Rh2,5,1,20,0.0,20,B Fe Rh Ru Ti
Ti4CoNi,3,1,24,0.0,24,Co Ni Ti
Ti2Al3Ni,3,1,12,0.0,12,Al Ni Ti
UCu2(SiNi4)2,4,1,13,0.0,13,Cu Ni Si U
Ti10(GaSb)3,3,1,16,0.0,16,Ga Sb Ti
Ti6Zn2C,3,1,9,0.0,9,C Ti Zn
Ti10CrSb5,3,1,16,0.0,16,Cr Sb Ti
Ti20(Ge3Sb)3,3,1,32,0.0,32,Ge Sb Ti
Ti13Sb3,2,1,16,0.0,16,Sb Ti
Ti2CrIn3O6,4,1,12,0.0,12,Cr In O Ti
TePtSe,3,1,3,0.0,3,Pt Se Te
ThSc,2,1,2,0.0,2,Sc Th
ThUTe2,3,1,4,0.0,4,Te Th U
ThUSe2,3,1,4,0.0,4,Se Th U
TePdSe,3,1,3,0.0,3,Pd Se Te
ThHg,2,1,2,0.0,2,Hg Th
TeSe2,2,1,3,0.0,3,Se Te
Ti(CrSi3)2,3,1,9,0.0,9,Cr Si Ti
Th2PNO,4,1,5,0.0,5,N O P Th
TeAsIr,3,1,12,0.0,12,As Ir Te
Ti2FeB6(Os2Rh)3,5,1,18,0.0,18,B Fe Os Rh Ti
Th2Si3Os,3,1,6,0.0,6,Os Si Th
Ti4FeNi,3,1,24,0.0,24,Fe Ni Ti
Th2Si3Pt,3,1,6,0.0,6,Pt Si Th
Th2Si3Ir,3,1,6,0.0,6,Ir Si Th
Th4SiGe,3,1,6,0.0,6,Ge Si Th
Th2AsNO,4,1,5,0.0,5,As N O Th
Th4AgPd,3,1,6,0.0,6,Ag Pd Th
ThUN2,3,1,4,0.0,4,N Th U
TiAl4Ni15,3,1,20,0.0,20,Al Ni Ti
Ti10FeSb5,3,1,16,0.0,16,Fe Sb Ti
Th4AlGe,3,1,6,0.0,6,Al Ge Th
TePb2Se,3,1,4,0.0,4,Pb Se Te
Ti3TePb4O13,4,1,21,0.0,21,O Pb Te Ti
Th2CuSi3,3,1,6,0.0,6,Cu Si Th
Th2Si3Ru,3,1,6,0.0,6,Ru Si Th
Th2Si3Rh,3,1,6,0.0,6,Rh Si Th
Th5C,2,1,6,0.0,6,C Th
Th2MnSi3,3,1,6,0.0,6,Mn Si Th
ThAl2Fe3,3,1,6,0.0,6,Al Fe Th
ThAl2Co3,3,1,6,0.0,6,Al Co Th
ThMn2Co3,3,1,6,0.0,6,Co Mn Th
Th2Si3Ni,3,1,6,0.0,6,Ni Si Th
ThFeCo4,3,1,6,0.0,6,Co Fe Th
TlP3(NO6)2,4,1,36,0.0,36,N O P Tl
Th2Si3Au,3,1,6,0.0,6,Au Si Th
ThMnAl,3,1,6,0.0,6,Al Mn Th
Ti8Ga3Co4Si,4,1,16,0.0,16,Co Ga Si Ti
ThUBe26,3,1,28,0.0,28,Be Th U
ThMnCo4,3,1,6,0.0,6,Co Mn Th
ThMn3Ni2,3,1,6,0.0,6,Mn Ni Th
TeAs2,2,1,6,0.0,6,As Te
Th2FeSi3,3,1,6,0.0,6,Fe Si Th
TeSe,2,1,6,0.0,6,Se Te
ThUC2,3,1,4,0.0,4,C Th U
Th2Ge3,2,1,5,0.0,5,Ge Th
TeAsRh,3,1,12,0.0,12,As Rh Te
ThMn2Ni3,3,1,6,0.0,6,Mn Ni Th
ThMn3Al2,3,1,6,0.0,6,Al Mn Th
ThSc(BRh)8,4,1,18,0.0,18,B Rh Sc Th
ThIrOs,3,1,6,0.0,6,Ir Os Th
Th2CN,3,1,4,0.0,4,C N Th
ThFe2Ni3,3,1,6,0.0,6,Fe Ni Th
TcW,2,1,2,0.0,2,Tc W
Ti2Cr4(CuSe4)3,4,1,42,0.0,42,Cr Cu Se Ti
Ti4In2CoNi,4,1,8,0.0,8,Co In Ni Ti
ThUB8,3,1,20,0.0,20,B Th U
ThUAl6,3,1,8,0.0,8,Al Th U
ThFeNi4,3,1,6,0.0,6,Fe Ni Th
ThU4O10,3,1,15,0.0,15,O Th U
Th2SiGe,3,1,8,0.0,8,Ge Si Th
Ti3Cr17Si12,3,1,32,0.0,32,Cr Si Ti
TiNbBi5WO15,5,1,46,0.0,46,Bi Nb O Ti W
ThFe4Ni,3,1,6,0.0,6,Fe Ni Th
ThZn11,2,1,12,0.0,12,Th Zn
Th3SiGe,3,1,10,0.0,10,Ge Si Th
ThUSb4,3,1,6,0.0,6,Sb Th U
Th2ZrUO8,4,1,12,0.0,12,O Th U Zr
ThCo2Ni3,3,1,6,0.0,6,Co Ni Th
Te3Au,2,1,4,0.0,4,Au Te
ThU(CuSi)4,4,1,10,0.0,10,Cu Si Th U
Ti2FeB2Ru2Rh3,5,1,20,0.0,20,B Fe Rh Ru Ti
TcRu,2,1,2,0.0,2,Ru Tc
Th2(FeNi)5,3,1,12,0.0,12,Fe Ni Th
ThZr2U2O10,4,1,15,0.0,15,O Th U Zr
Ti2Nb2Ni2C,4,1,28,0.0,28,C Nb Ni Ti
Th2B15,2,1,34,0.0,34,B Th
ThFe3Co2,3,1,6,0.0,6,Co Fe Th
V4Zn3Cu3O22,4,1,32,0.0,32,Cu O V Zn
Ti(NbNi4)3,3,1,16,0.0,16,Nb Ni Ti
ThU(MnSi)4,4,1,10,0.0,10,Mn Si Th U
TcW2C,3,1,8,0.0,8,C Tc W
Zn15Te5As2P8(Pb3O14)5,6,1,115,0.0,115,As O P Pb Te Zn
TePb3(ClO2)2,4,1,10,0.0,10,Cl O Pb Te
Th5C4,2,1,9,0.0,9,C Th
Ti10CuSn6,3,1,17,0.0,17,Cu Sn Ti
ThFe4Co,3,1,6,0.0,6,Co Fe Th
Te8Pd5Se2,3,1,15,0.0,15,Pd Se Te
TiH8(OF2)3,4,1,72,0.0,72,F H O Ti
Th3(SbAs)2,3,1,14,0.0,14,As Sb Th
Th7S12,2,1,19,0.0,19,S Th
Ti(Nb2B3)4,3,1,21,0.0,21,B Nb Ti
Th2Fe17C,3,1,20,0.0,20,C Fe Th
Ti13Al9Co8,3,1,30,0.0,30,Al Co Ti
Tl5Re6S8Cl7,4,1,52,0.0,52,Cl Re S Tl
U3(CoNi2)2,3,1,18,0.0,18,Co Ni U
ThURe4,3,1,12,0.0,12,Re Th U
Th4C3,2,1,7,0.0,7,C Th
TcMo,2,1,2,0.0,2,Mo Tc
Ti2Co3Ge,3,1,6,0.0,6,Co Ge Ti
TbZnSi,3,1,3,0.0,3,Si Tb Zn
V2Cd5(P2O7)4,4,1,86,0.0,86,Cd O P V
V3P4H8N2O17,5,1,136,0.0,136,H N O P V
ThFe2Co3,3,1,6,0.0,6,Co Fe Th
Te4Pb5Se,3,1,10,0.0,10,Pb Se Te
TcNi,2,1,2,0.0,2,Ni Tc
TcIr,2,1,2,0.0,2,Ir Tc
Ti27CuP16,3,1,44,0.0,44,Cu P Ti
Th3U3P8,3,1,14,0.0,14,P Th U
TbZnAgAs2,4,1,5,0.0,5,Ag As Tb Zn
UH14C6(NO2)6,5,1,78,0.0,78,C H N O U
TbZr3,2,1,4,0.0,4,Tb Zr
Te4Mo2Ru,3,1,14,0.0,14,Mo Ru Te
Th3(OsRu2)2,3,1,18,0.0,18,Os Ru Th
TbZnCuAs2,4,1,5,0.0,5,As Cu Tb Zn
TcRh,2,1,2,0.0,2,Rh Tc
U2Nb6O21,3,1,58,0.0,58,Nb O U
USb2OF14,4,1,72,0.0,72,F O Sb U
Ti3Fe2(BiO3)6,4,1,29,0.0,29,Bi Fe O Ti
Y20Cu6(Pb3Se14)3,4,1,77,0.0,77,Cu Pb Se Y
TbYNi4(B2C)2,5,1,12,0.0,12,B C Ni Tb Y
V20Ga(GeS10)4,4,1,65,0.0,65,Ga Ge S V
TbUTe4,3,1,6,0.0,6,Tb Te U
Ti12Cu9(BiO18)2,4,1,59,0.0,59,Bi Cu O Ti
TbY2Ni6(B2C)3,5,1,18,0.0,18,B C Ni Tb Y
ThU2S5,3,1,32,0.0,32,S Th U
TePtPb,3,1,12,0.0,12,Pb Pt Te
Th7Se12,2,1,19,0.0,19,Se Th
Te16(Mo3Ru)3,3,1,28,0.0,28,Mo Ru Te
Tc4N3,2,1,7,0.0,7,N Tc
TbYNi2,3,1,8,0.0,8,Ni Tb Y
Te2Pd7,2,1,27,0.0,27,Pd Te
Ti7P12C6(NO24)2,5,1,75,0.0,75,C N O P Ti
Ti2Tl3P5S18,4,1,56,0.0,56,P S Ti Tl
Te10Rh7,2,1,34,0.0,34,Rh Te
Th4P6PbO24,4,1,35,0.0,35,O P Pb Th
UFe5Co5Si2,4,1,13,0.0,13,Co Fe Si U
Ti2In3FeO10,4,1,32,0.0,32,Fe In O Ti
TbY3Ni8(B2C)4,5,1,24,0.0,24,B C Ni Tb Y
TePb3(BrO2)2,4,1,10,0.0,10,Br O Pb Te
Th2Mn17C2,3,1,21,0.0,21,C Mn Th
Ti4FeBiPb4O15,5,1,25,0.0,25,Bi Fe O Pb Ti
Th4UTe5,3,1,10,0.0,10,Te Th U
TbUTe6,3,1,8,0.0,8,Tb Te U
Zn(W18O49)2,3,1,135,0.0,135,O W Zn
Te4Au(OF5)4,4,1,29,0.0,29,Au F O Te
Te4As2I2O,4,1,9,0.0,9,As I O Te
ThSc2(BRh)12,4,1,54,0.0,54,B Rh Sc Th
Th2(InSn)3,3,1,8,0.0,8,In Sn Th
TbTiFe11N,4,1,14,0.0,14,Fe N Tb Ti
Ti8In4CoNi3,4,1,16,0.0,16,Co In Ni Ti
Ti6FeO16,3,1,23,0.0,23,Fe O Ti
TbLu,2,1,2,0.0,2,Lu Tb
TbHo,2,1,2,0.0,2,Ho Tb
TbHoAl4,3,1,6,0.0,6,Al Ho Tb
TbScSi2,3,1,4,0.0,4,Sc Si Tb
TbHoFe4,3,1,6,0.0,6,Fe Ho Tb
TbTh,2,1,2,0.0,2,Tb Th
TbThRe4,3,1,12,0.0,12,Re Tb Th
TbSi2IrRh,4,1,5,0.0,5,Ir Rh Si Tb
TbPrFe4,3,1,6,0.0,6,Fe Pr Tb
TbSi2RuRh,4,1,5,0.0,5,Rh Ru Si Tb
ThUH8(C2O5)4,5,1,38,0.0,38,C H O Th U
Ti8InCo3NiSn3,5,1,16,0.0,16,Co In Ni Sn Ti
Tl4P4N4O9,4,1,42,0.0,42,N O P Tl
TbHoCo4,3,1,6,0.0,6,Co Ho Tb
TlMo3Br7,3,1,88,0.0,88,Br Mo Tl
TbNdFe4,3,1,6,0.0,6,Fe Nd Tb
TbMnAl,3,1,6,0.0,6,Al Mn Tb
TbMnFe,3,1,6,0.0,6,Fe Mn Tb
Te2W2N2O,4,1,7,0.0,7,N O Te W
Tl3Mo15Se19,3,1,74,0.0,74,Mo Se Tl
Te15W2(Br6O)2,4,1,31,0.0,31,Br O Te W
Ti2FeB2RuRh4,5,1,20,0.0,20,B Fe Rh Ru Ti
TbNdCo4,3,1,6,0.0,6,Co Nd Tb
ThScFe6,3,1,24,0.0,24,Fe Sc Th
TbNd(NiGe2)2,4,1,8,0.0,8,Ge Nd Ni Tb
TbPrMn4,3,1,6,0.0,6,Mn Pr Tb
Te3H9Br13O4,4,1,29,0.0,29,Br H O Te
V2C12(NF3)3,4,1,52,0.0,52,C F N V
TbHo3Fe8,3,1,12,0.0,12,Fe Ho Tb
TbTiFe11C,4,1,14,0.0,14,C Fe Tb Ti
TbSm(Co2Ni3)2,4,1,12,0.0,12,Co Ni Sm Tb
Tm3(AgPb2)2,3,1,18,0.0,18,Ag Pb Tm
TbTiFe11,3,1,13,0.0,13,Fe Tb Ti
TbSc3(BO3)4,4,1,20,0.0,20,B O Sc Tb
Ti3NiBi2(PbO6)2,5,1,80,0.0,80,Bi Ni O Pb Ti
V4CoH12C2(N3O10)2,6,1,45,0.0,45,C Co H N O V
TbSi4B18C,4,1,48,0.0,48,B C Si Tb
Te15Mo2(Br6O)2,4,1,31,0.0,31,Br Mo O Te
Ti13Pb3,2,1,16,0.0,16,Pb Ti
Te15Mo2(Cl6O)2,4,1,31,0.0,31,Cl Mo O Te
TeH4C2(NCl)6,5,1,19,0.0,19,C Cl H N Te
ThP2(NO4)2,4,1,26,0.0,26,N O P Th
TbTaTiO6,4,1,36,0.0,36,O Ta Tb Ti
TbIn7Cu5,3,1,13,0.0,13,Cu In Tb
TbNdFe17,3,1,19,0.0,19,Fe Nd Tb
TbGaAg,3,1,6,0.0,6,Ag Ga Tb
TbGaAu,3,1,6,0.0,6,Au Ga Tb
ThU3Re8,3,1,12,0.0,12,Re Th U
TbUTe3,3,1,20,0.0,20,Tb Te U
TbScSi,3,1,18,0.0,18,Sc Si Tb
Th4Cu6Sn7,3,1,17,0.0,17,Cu Sn Th
U6Si19Pt30,3,1,55,0.0,55,Pt Si U
Te2W2N2O15,4,1,21,0.0,21,N O Te W
TbGd(PO4)2,4,1,12,0.0,12,Gd O P Tb
Th2(FeCo)5,3,1,12,0.0,12,Co Fe Th
TbFeCu,3,1,6,0.0,6,Cu Fe Tb
TbNd3Fe34,3,1,38,0.0,38,Fe Nd Tb
TbFeNi4,3,1,6,0.0,6,Fe Ni Tb
TbFe11Mo,3,1,13,0.0,13,Fe Mo Tb
TbFe11Re,3,1,13,0.0,13,Fe Re Tb
TbInGe2O7,4,1,22,0.0,22,Ge In O Tb
TbNdCo14B,4,1,68,0.0,68,B Co Nd Tb
Ti8Cr3(B4Ru9)2,4,1,74,0.0,74,B Cr Ru Ti
Ti8Ni3(B4Ru9)2,4,1,74,0.0,74,B Ni Ru Ti
V17Fe7(PbO11)4,4,1,72,0.0,72,Fe O Pb V
TbErTe2,3,1,4,0.0,4,Er Tb Te
TbAlGa,3,1,3,0.0,3,Al Ga Tb
TbDyAl4,3,1,6,0.0,6,Al Dy Tb
TbFe11W,3,1,13,0.0,13,Fe Tb W
TbAlCo4,3,1,6,0.0,6,Al Co Tb
Ti4Nb(BiO3)7,4,1,66,0.0,66,Bi Nb O Ti
TbDyC4,3,1,6,0.0,6,C Dy Tb
TbCu2Ni3,3,1,6,0.0,6,Cu Ni Tb
TbGd3(PO4)4,4,1,24,0.0,24,Gd O P Tb
TbDy3Al8,3,1,12,0.0,12,Al Dy Tb
TbAl3Ag,3,1,5,0.0,5,Ag Al Tb
Th14Ag51,2,1,65,0.0,65,Ag Th
TbBiTe3,3,1,5,0.0,5,Bi Tb Te
TbFe6Co5W,4,1,13,0.0,13,Co Fe Tb W
