species,stoichiometry,raw_entries,proxy_structure_families,natoms_min,natoms_median,natoms_max
P-Tc,0.444444;0.555556,2,2,9,13.5,18
B-Br,0.166667;0.833333,2,2,6,6.0,6
Bi-P,0.444444;0.555556,2,2,9,13.5,18
Mo-W,0.571429;0.428571,2,2,7,7.0,7
Pt-W,0.428571;0.571429,2,2,7,7.0,7
Cl-Zn,0.2;0.8,2,2,5,12.5,20
P-Si,0.8;0.2,2,2,5,12.5,20
Pt-Pu,0.375;0.625,2,2,16,16.0,16
Cl-Sb,0.2;0.8,2,2,5,12.5,20
Pb-Re,0.555556;0.444444,2,2,9,13.5,18
Ni-Ru,0.428571;0.571429,2,2,7,7.0,7
Al-Mg,0.62037;0.37963,2,2,108,108.0,108
Rh-Ti,0.555556;0.444444,2,2,9,13.5,18
B-Mg,0.375;0.625,2,2,8,12.0,16
Fe-Mn,0.4;0.6,2,2,5,5.0,5
Pu-S,0.333333;0.666667,2,2,6,6.0,6
In-Ta,0.8;0.2,2,2,5,5.0,5
Hg-Pb,0.571429;0.428571,2,2,7,7.0,7
C-Se,0.444444;0.555556,2,2,9,13.5,18
Be-Ta,0.894737;0.105263,2,2,19,19.0,19
Pb-Zr,0.2;0.8,2,2,5,5.0,5
Be-Mg,0.444444;0.555556,2,2,9,13.5,18
Ir-Tl,0.2;0.8,2,2,5,12.5,20
Pb-Yb,0.375;0.625,2,2,16,16.0,16
Be-Hg,0.428571;0.571429,2,2,7,7.0,7
Bi-Y,0.625;0.375,2,2,8,12.0,16
Sn-Th,0.375;0.625,2,2,16,16.0,16
Hg-Os,0.571429;0.428571,2,2,7,7.0,7
S-Tl,0.714286;0.285714,2,2,28,28.0,28
O-Sr,0.8;0.2,2,2,5,7.5,10
Co-V,0.571429;0.428571,2,2,7,7.0,7
Al-Sc,0.444444;0.555556,2,2,9,13.5,18
Rh-Si,0.4;0.6,2,2,5,7.5,10
Ir-Se,0.571429;0.428571,2,2,7,7.0,7
Re-Zr,0.428571;0.571429,2,2,7,7.0,7
B-Mg,0.4;0.6,2,2,5,7.5,10
Sc-Se,0.8;0.2,2,2,5,5.0,5
P-Tl,0.375;0.625,2,2,16,16.0,16
Ag-Si,0.4;0.6,2,2,5,5.0,5
Cr-Na,0.555556;0.444444,2,2,9,13.5,18
C-Y,0.857143;0.142857,2,2,14,14.0,14
Ge-Mg,0.586207;0.413793,2,1,29,29.0,29
Ni-Os,0.444444;0.555556,2,2,9,13.5,18
Bi-Mn,0.2;0.8,2,2,5,5.0,5
As-W,0.4;0.6,2,2,5,5.0,5
Ti-Tl,0.571429;0.428571,2,2,7,7.0,7
Co-Sc,0.444444;0.555556,2,2,9,13.5,18
Au-Ba,0.6;0.4,2,2,5,7.5,10
Mn-Pd,0.571429;0.428571,2,2,7,7.0,7
Al-Pd,0.555556;0.444444,2,2,9,13.5,18
Hf-Pt,0.555556;0.444444,2,2,9,13.5,18
Os-Sb,0.4;0.6,2,2,5,7.5,10
Cu-Na,0.833333;0.166667,2,2,6,6.0,6
P-W,0.166667;0.833333,2,2,6,6.0,6
Cu-Ni,0.375;0.625,2,2,8,12.0,16
Ru-Sb,0.428571;0.571429,2,2,7,7.0,7
In-Mn,0.555556;0.444444,2,2,9,13.5,18
Au-Re,0.8;0.2,2,2,5,5.0,5
P-Sn,0.625;0.375,2,2,8,12.0,16
Hf-Ir,0.571429;0.428571,2,2,7,7.0,7
B-Cd,0.555556;0.444444,2,2,9,13.5,18
Fe-Mn,0.444444;0.555556,2,2,9,13.5,18
Ru-Se,0.625;0.375,2,2,8,12.0,16
Cd-Hg,0.571429;0.428571,2,2,7,7.0,7
N-Ni,0.2;0.8,2,2,5,5.0,5
Bi-Cu,0.625;0.375,2,2,8,12.0,16
C-Ta,0.857143;0.142857,2,2,14,14.0,14
Ni-Sr,0.375;0.625,2,2,8,12.0,16
Bi-Cu,0.4;0.6,2,2,5,5.0,5
Al-Hf,0.444444;0.555556,2,2,9,13.5,18
In-Sn,0.625;0.375,2,2,8,12.0,16
Hg-V,0.428571;0.571429,2,2,7,7.0,7
Cu-Ge,0.444444;0.555556,2,2,9,13.5,18
Fe-Hf,0.428571;0.571429,2,2,7,7.0,7
Sc-Y,0.444444;0.555556,2,2,9,13.5,18
Cu-Ru,0.625;0.375,2,2,8,12.0,16
Ir-W,0.428571;0.571429,2,2,7,7.0,7
Ni-Zn,0.555556;0.444444,2,2,9,13.5,18
Pb-Tb,0.75;0.25,2,2,4,4.0,4
Cu-Y,0.555556;0.444444,2,2,9,13.5,18
Cr-Y,0.6;0.4,2,2,5,5.0,5
Sc-Zr,0.444444;0.555556,2,2,9,13.5,18
Os-Zn,0.444444;0.555556,2,2,9,13.5,18
Ba-Cl,0.8;0.2,2,2,5,5.0,5
Hg-Sr,0.428571;0.571429,2,2,7,7.0,7
Sr-Y,0.375;0.625,2,2,8,12.0,16
Bi-Te,0.8;0.2,2,2,5,5.0,5
Au-Y,0.428571;0.571429,2,2,7,7.0,7
Ag-Si,0.625;0.375,2,2,8,12.0,16
Hg-Zr,0.555556;0.444444,2,2,9,13.5,18
Ba-Pt,0.444444;0.555556,2,2,9,13.5,18
Hf-Mo,0.571429;0.428571,2,2,7,7.0,7
Ir-Zn,0.555556;0.444444,2,2,9,13.5,18
Ca-Hg,0.0833333;0.916667,2,2,36,36.0,36
Rh-Zn,0.444444;0.555556,2,2,9,13.5,18
Cd-Pd,0.571429;0.428571,2,2,7,7.0,7
Fe-Ni,0.571429;0.428571,2,2,7,7.0,7
Ca-Zn,0.4;0.6,2,2,5,5.0,5
Ba-Ca,0.8;0.2,2,2,5,12.5,20
Hf-Re,0.444444;0.555556,2,2,9,13.5,18
Ag-Zr,0.428571;0.571429,2,2,7,7.0,7
Au-Pd,0.555556;0.444444,2,2,9,13.5,18
Ir-Mo,0.571429;0.428571,2,2,7,7.0,7
Fe-Ta,0.4;0.6,2,2,5,5.0,5
Se-Ti,0.555556;0.444444,2,2,9,13.5,18
P-Rb,0.6;0.4,2,2,10,10.0,10
Cl-Mg,0.8;0.2,2,2,5,5.0,5
Se-W,0.375;0.625,2,2,8,12.0,16
Cr-Y,0.444444;0.555556,2,2,9,13.5,18
Co-Na,0.8;0.2,2,2,5,5.0,5
Be-Sr,0.8;0.2,2,2,5,5.0,5
Br-Tl,0.2;0.8,2,2,5,5.0,5
Bi-W,0.8;0.2,2,2,5,5.0,5
C-Pt,0.555556;0.444444,2,2,9,13.5,18
Cu-Dy,0.666667;0.333333,2,2,6,6.0,6
Hg-Mo,0.428571;0.571429,2,2,7,7.0,7
B-Si,0.375;0.625,2,2,8,12.0,16
Ag-Sc,0.428571;0.571429,2,2,7,7.0,7
Ni-Ta,0.555556;0.444444,2,2,9,13.5,18
Al-Sc,0.6;0.4,2,2,5,7.5,10
Pb-Sr,0.625;0.375,2,2,8,12.0,16
Gd-Ir,0.25;0.75,2,2,4,4.0,4
Ni-Pd,0.571429;0.428571,2,2,7,7.0,7
Au-Tl,0.428571;0.571429,2,2,7,7.0,7
Ru-Zn,0.555556;0.444444,2,2,9,13.5,18
Ga-P,0.555556;0.444444,2,2,9,13.5,18
Nb-Rh,0.428571;0.571429,2,2,7,7.0,7
La-Re,0.625;0.375,2,2,8,12.0,16
Cr-W,0.428571;0.571429,2,2,7,7.0,7
Mn-Ni,0.571429;0.428571,2,2,7,7.0,7
La-Mn,0.444444;0.555556,2,2,9,13.5,18
Al-Mo,0.625;0.375,2,2,8,12.0,16
Ca-Re,0.4;0.6,2,2,5,5.0,5
Cd-Cl,0.625;0.375,2,2,8,12.0,16
Mg-Nb,0.444444;0.555556,2,2,9,13.5,18
Bi-La,0.571429;0.428571,2,2,7,7.0,7
Al-La,0.375;0.625,2,2,8,12.0,16
Ga-W,0.6;0.4,2,2,5,7.5,10
Br-Mg,0.166667;0.833333,2,2,6,6.0,6
Cs-Hg,0.130435;0.869565,2,2,46,46.0,46
B-Pd,0.428571;0.571429,2,2,7,7.0,7
I-Sn,0.666667;0.333333,2,2,9,9.0,9
Ga-Y,0.857143;0.142857,2,2,14,14.0,14
La-W,0.8;0.2,2,2,5,12.5,20
Pb-Sr,0.4;0.6,2,2,5,7.5,10
Au-Re,0.625;0.375,2,2,16,16.0,16
Ca-Ga,0.272727;0.727273,2,2,11,11.0,11
Fe-Ge,0.375;0.625,2,2,8,12.0,16
Be-Mg,0.555556;0.444444,2,2,9,13.5,18
Bi-Ga,0.4;0.6,2,2,5,5.0,5
Fe-Sr,0.2;0.8,2,2,5,12.5,20
Ba-Cr,0.444444;0.555556,2,2,9,13.5,18
In-Pt,0.375;0.625,2,2,16,16.0,16
Rh-Tc,0.571429;0.428571,2,2,7,7.0,7
Ir-Li,0.4;0.6,2,2,5,5.0,5
Ba-Tl,0.428571;0.571429,2,2,7,7.0,7
C-Nb,0.555556;0.444444,2,2,9,13.5,18
Al-In,0.6;0.4,2,2,5,5.0,5
Hf-Ni,0.555556;0.444444,2,2,9,13.5,18
K-Pb,0.2;0.8,2,2,5,12.5,20
Mn-Nb,0.428571;0.571429,2,2,7,7.0,7
Cd-Sn,0.6;0.4,2,2,5,7.5,10
P-Sn,0.555556;0.444444,2,2,9,13.5,18
Cl-Ge,0.727273;0.272727,2,2,44,44.0,44
Pb-Rh,0.571429;0.428571,2,2,7,7.0,7
B-W,0.923077;0.0769231,2,2,13,13.0,13
Bi-Ca,0.8;0.2,2,2,5,12.5,20
Be-Tc,0.956522;0.0434783,2,2,46,46.0,46
Ir-Te,0.428571;0.571429,2,2,7,7.0,7
Fe-Tl,0.6;0.4,2,2,5,5.0,5
As-Ir,0.571429;0.428571,2,2,7,7.0,7
Ru-Y,0.571429;0.428571,2,2,7,7.0,7
Sr-Zn,0.8;0.2,2,2,5,5.0,5
Bi-Ti,0.4;0.6,2,2,5,5.0,5
Ni-Sn,0.555556;0.444444,2,2,9,13.5,18
Nb-Re,0.555556;0.444444,2,2,9,13.5,18
Fe-K,0.8;0.2,2,2,5,12.5,20
In-Se,0.444444;0.555556,2,2,9,13.5,18
Pb-Pd,0.571429;0.428571,2,2,7,7.0,7
K-V,0.2;0.8,2,2,5,5.0,5
Hf-La,0.2;0.8,2,2,5,5.0,5
B-Cu,0.375;0.625,2,2,8,12.0,16
Fe-Tl,0.2;0.8,2,2,5,5.0,5
Se-Tc,0.625;0.375,2,2,16,16.0,16
Br-Ca,0.2;0.8,2,2,5,5.0,5
Br-In,0.4;0.6,2,2,5,5.0,5
Li-Rh,0.166667;0.833333,2,2,6,6.0,6
Li-Se,0.166667;0.833333,2,2,6,6.0,6
La-Li,0.8;0.2,2,2,5,5.0,5
Al-Mn,0.615385;0.384615,2,2,26,26.0,26
Al-Ga,0.375;0.625,2,2,8,12.0,16
Sc-Zn,0.571429;0.428571,2,2,7,7.0,7
K-Mg,0.444444;0.555556,2,2,9,13.5,18
Re-Ta,0.428571;0.571429,2,2,7,7.0,7
C-Ge,0.444444;0.555556,2,2,9,13.5,18
Cd-Ge,0.375;0.625,2,2,8,12.0,16
Si-Ta,0.444444;0.555556,2,2,9,13.5,18
In-Sc,0.375;0.625,2,2,8,12.0,16
Co-Pt,0.428571;0.571429,2,2,7,7.0,7
Be-Re,0.428571;0.571429,2,2,7,7.0,7
Hg-Re,0.571429;0.428571,2,2,7,7.0,7
Al-Si,0.6;0.4,2,2,5,7.5,10
P-Rh,0.375;0.625,2,2,16,16.0,16
Tl-Zr,0.428571;0.571429,2,2,7,7.0,7
Pb-Ru,0.6;0.4,2,2,5,7.5,10
Co-O,0.571429;0.428571,2,2,14,14.0,14
Sc-Se,0.625;0.375,2,2,8,12.0,16
Al-Te,0.2;0.8,2,2,5,5.0,5
As-Nb,0.571429;0.428571,2,2,7,7.0,7
Be-Tb,0.928571;0.0714286,2,2,28,28.0,28
Rb-Se,0.666667;0.333333,2,2,3,3.0,3
Ge-Mo,0.428571;0.571429,2,2,7,7.0,7
Ni-Ti,0.428571;0.571429,2,2,7,7.0,7
Pt-Rh,0.555556;0.444444,2,2,9,13.5,18
Be-Ta,0.4;0.6,2,2,10,10.0,10
Tl-U,0.75;0.25,2,2,4,4.0,4
Ir-Pd,0.8;0.2,2,2,5,5.0,5
Si-W,0.444444;0.555556,2,2,9,13.5,18
Ho-Os,0.333333;0.666667,2,2,12,12.0,12
Sc-Zn,0.428571;0.571429,2,2,7,7.0,7
In-Nb,0.444444;0.555556,2,2,9,13.5,18
As-Ce,0.428571;0.571429,2,2,14,14.0,14
Mg-V,0.625;0.375,2,2,16,16.0,16
Ba-Fe,0.6;0.4,2,2,5,5.0,5
Se-Zn,0.555556;0.444444,2,2,9,13.5,18
C-Li,0.555556;0.444444,2,2,9,13.5,18
Al-Tc,0.4;0.6,2,2,5,7.5,10
K-Rh,0.2;0.8,2,2,5,12.5,20
Cd-Rh,0.555556;0.444444,2,2,9,13.5,18
Cd-W,0.428571;0.571429,2,2,7,7.0,7
Mo-W,0.125;0.875,2,2,8,12.0,16
As-Cd,0.555556;0.444444,2,2,9,13.5,18
As-Cu,0.4;0.6,2,2,5,7.5,10
B-Pd,0.8;0.2,2,2,5,5.0,5
Mo-Sc,0.555556;0.444444,2,2,9,13.5,18
Ni-Se,0.4;0.6,2,2,5,5.0,5
Be-Pt,0.923077;0.0769231,2,2,13,13.0,13
Co-Re,0.444444;0.555556,2,2,9,13.5,18
Mn-Nb,0.571429;0.428571,2,2,7,7.0,7
Ca-W,0.2;0.8,2,2,5,5.0,5
Ge-S,0.555556;0.444444,2,2,9,13.5,18
Ho-Zn,0.25;0.75,2,2,16,16.0,16
Hg-Mg,0.428571;0.571429,2,2,7,7.0,7
B-Pt,0.375;0.625,2,2,8,12.0,16
Pt-Th,0.3;0.7,2,2,20,20.0,20
Ca-Cu,0.8;0.2,2,2,5,5.0,5
O-Y,0.727273;0.272727,2,2,11,11.0,11
Au-Bi,0.571429;0.428571,2,2,7,7.0,7
Ba-Nb,0.375;0.625,2,2,8,12.0,16
Mg-Os,0.571429;0.428571,2,2,7,7.0,7
Ag-Cu,0.444444;0.555556,2,2,9,13.5,18
Bi-Si,0.4;0.6,2,2,5,5.0,5
B-Na,0.4;0.6,2,2,5,5.0,5
Ir-Os,0.571429;0.428571,2,2,7,7.0,7
Bi-Re,0.6;0.4,2,2,5,5.0,5
Os-Tb,0.666667;0.333333,2,2,12,12.0,12
Be-Ge,0.625;0.375,2,2,8,12.0,16
Pd-Sb,0.444444;0.555556,2,2,9,13.5,18
Sc-Si,0.8;0.2,2,2,5,5.0,5
Hf-Sb,0.571429;0.428571,2,2,7,7.0,7
Bi-Pt,0.444444;0.555556,2,2,9,13.5,18
Rh-W,0.444444;0.555556,2,2,9,13.5,18
O-Zn,0.727273;0.272727,2,2,11,11.0,11
Mo-Ti,0.444444;0.555556,2,2,9,13.5,18
Os-Y,0.571429;0.428571,2,2,7,7.0,7
B-Zr,0.555556;0.444444,2,2,9,13.5,18
La-Ti,0.2;0.8,2,2,5,5.0,5
Br-Se,0.2;0.8,2,2,5,5.0,5
Au-Zn,0.571429;0.428571,2,2,7,7.0,7
Mn-Sb,0.444444;0.555556,2,2,9,13.5,18
Bi-Hg,0.555556;0.444444,2,2,9,13.5,18
Cu-Os,0.4;0.6,2,2,5,5.0,5
Mo-V,0.571429;0.428571,2,2,7,7.0,7
Na-Re,0.8;0.2,2,2,5,5.0,5
Mn-O,0.7;0.3,2,2,10,10.0,10
Cd-W,0.571429;0.428571,2,2,7,7.0,7
Gd-Pt,0.75;0.25,2,2,16,16.0,16
Mo-Na,0.2;0.8,2,2,5,12.5,20
Ni-Sb,0.833333;0.166667,2,2,6,6.0,6
Be-P,0.375;0.625,2,2,8,12.0,16
Rh-Y,0.444444;0.555556,2,2,9,13.5,18
Ag-Mg,0.239437;0.760563,2,2,71,71.0,71
Hf-In,0.555556;0.444444,2,2,9,13.5,18
As-Ru,0.375;0.625,2,2,8,12.0,16
Bi-W,0.2;0.8,2,2,5,5.0,5
Cd-Fe,0.428571;0.571429,2,2,7,7.0,7
Se-Ti,0.272727;0.727273,2,2,44,44.0,44
Os-Zn,0.6;0.4,2,2,5,5.0,5
Pb-Rh,0.444444;0.555556,2,2,9,13.5,18
Ta-Y,0.625;0.375,2,2,8,12.0,16
Ca-Rh,0.8;0.2,2,2,5,12.5,20
Co-Hg,0.625;0.375,2,2,16,16.0,16
I-La,0.5;0.5,2,2,4,4.0,4
Ni-Tl,0.166667;0.833333,2,2,6,6.0,6
Ba-Y,0.555556;0.444444,2,2,9,13.5,18
Mg-Zn,0.125;0.875,2,2,8,8.0,8
Ba-Cl,0.4;0.6,2,2,5,7.5,10
Bi-Ta,0.375;0.625,2,2,8,12.0,16
Ga-Sn,0.4;0.6,2,2,5,22.5,40
Sn-Th,0.444444;0.555556,2,2,18,27.0,36
Ga-Sn,0.375;0.625,2,2,8,12.0,16
V-W,0.571429;0.428571,2,2,7,7.0,7
Al-Cl,0.625;0.375,2,2,8,12.0,16
W-Zr,0.555556;0.444444,2,2,9,13.5,18
Ge-Re,0.444444;0.555556,2,2,9,13.5,18
Bi-Hg,0.444444;0.555556,2,2,9,13.5,18
Cd-Sn,0.625;0.375,2,2,8,12.0,16
Re-W,0.2;0.8,2,2,5,5.0,5
Sb-Tm,0.5;0.5,2,2,2,2.0,2
Te-Zr,0.6;0.4,2,2,5,5.0,5
Ge-Ta,0.625;0.375,2,2,8,12.0,16
Cr-Y,0.555556;0.444444,2,2,9,13.5,18
Nb-Ta,0.571429;0.428571,2,2,7,7.0,7
Mn-Zr,0.428571;0.571429,2,2,7,7.0,7
Re-V,0.428571;0.571429,2,2,7,7.0,7
F-Te,0.857143;0.142857,2,2,28,28.0,28
Mg-Se,0.444444;0.555556,2,2,9,13.5,18
La-N,0.4;0.6,2,2,5,7.5,10
P-Re,0.625;0.375,2,2,8,12.0,16
K-Ni,0.166667;0.833333,2,2,6,6.0,6
Br-Ru,0.8;0.2,2,2,5,5.0,5
Mn-Ti,0.555556;0.444444,2,2,9,13.5,18
Mn-Re,0.625;0.375,2,2,8,12.0,16
Hf-Sr,0.571429;0.428571,2,2,7,7.0,7
Li-Sc,0.2;0.8,2,2,5,12.5,20
K-P,0.375;0.625,2,2,16,16.0,16
As-Re,0.571429;0.428571,2,2,7,7.0,7
Hf-Te,0.2;0.8,2,2,5,5.0,5
Mg-W,0.888889;0.111111,2,2,9,9.0,9
Cr-F,0.285714;0.714286,2,2,14,14.0,14
La-Tc,0.428571;0.571429,2,2,7,7.0,7
Au-Tc,0.2;0.8,2,2,5,5.0,5
Cd-Tc,0.8;0.2,2,2,5,5.0,5
C-Te,0.555556;0.444444,2,2,9,13.5,18
Ir-Se,0.444444;0.555556,2,2,9,13.5,18
Os-Th,0.3;0.7,2,2,20,20.0,20
Hg-Yb,0.5;0.5,2,2,2,2.0,2
Ba-Pd,0.444444;0.555556,2,2,9,13.5,18
Li-Sr,0.8;0.2,2,2,5,12.5,20
Ir-Sn,0.555556;0.444444,2,2,9,13.5,18
Be-Tl,0.444444;0.555556,2,2,9,13.5,18
Nb-Ta,0.555556;0.444444,2,2,9,13.5,18
Cl-Pb,0.2;0.8,2,2,5,12.5,20
In-Mg,0.555556;0.444444,2,2,9,13.5,18
Mn-Os,0.428571;0.571429,2,2,7,7.0,7
H-Pu,0.75;0.25,2,2,8,8.0,8
Pb-Si,0.625;0.375,2,2,8,12.0,16
Rh-Tc,0.555556;0.444444,2,2,9,13.5,18
Ca-Pt,0.125;0.875,2,2,8,8.0,8
Hf-Rh,0.555556;0.444444,2,2,9,13.5,18
Ag-Hg,0.8;0.2,2,2,5,5.0,5
Mo-Y,0.555556;0.444444,2,2,9,13.5,18
Al-Os,0.375;0.625,2,2,8,12.0,16
C-Y,0.888889;0.111111,2,2,9,9.0,9
Fe-Zn,0.428571;0.571429,2,2,7,7.0,7
Bi-Rh,0.625;0.375,2,2,8,12.0,16
Be-Pu,0.928571;0.0714286,2,2,28,28.0,28
Hg-Tb,0.5;0.5,2,2,2,2.0,2
Ce-Mg,0.444444;0.555556,2,2,9,13.5,18
Ru-W,0.428571;0.571429,2,2,7,7.0,7
Mg-V,0.6;0.4,2,2,5,5.0,5
O-Y,0.428571;0.571429,2,2,14,14.0,14
Tc-Ti,0.571429;0.428571,2,2,7,7.0,7
Bi-Rh,0.428571;0.571429,2,2,7,7.0,7
Co-Y,0.444444;0.555556,2,2,9,13.5,18
Hf-Mn,0.428571;0.571429,2,2,7,7.0,7
Ga-Se,0.625;0.375,2,2,8,12.0,16
Be-Ti,0.428571;0.571429,2,2,7,7.0,7
Ga-Zr,0.6;0.4,2,2,5,7.5,10
Se-Zn,0.4;0.6,2,2,5,5.0,5
Li-Rh,0.2;0.8,2,2,5,5.0,5
Pt-V,0.444444;0.555556,2,2,9,13.5,18
Au-Hf,0.428571;0.571429,2,2,7,7.0,7
Co-Sb,0.6;0.4,2,2,5,5.0,5
F-V,0.75;0.25,2,2,8,8.0,8
Ga-Ge,0.6;0.4,2,2,5,7.5,10
Ba-Ca,0.555556;0.444444,2,2,9,13.5,18
Ba-Rh,0.375;0.625,2,2,8,12.0,16
Fe-Y,0.571429;0.428571,2,2,7,7.0,7
Er-Sn,0.625;0.375,2,2,16,16.0,16
K-Si,0.8;0.2,2,2,5,12.5,20
Al-Sn,0.571429;0.428571,2,2,7,7.0,7
La-Si,0.4;0.6,2,2,5,7.5,10
Co-Pt,0.571429;0.428571,2,2,7,7.0,7
Pb-Sr,0.375;0.625,2,2,8,12.0,16
Mn-Rh,0.444444;0.555556,2,2,9,13.5,18
As-V,0.444444;0.555556,2,2,9,13.5,18
W-Zr,0.571429;0.428571,2,2,7,7.0,7
Ru-Sc,0.137255;0.862745,2,2,102,102.0,102
Sc-Se,0.375;0.625,2,2,8,12.0,16
Mn-Tl,0.8;0.2,2,2,5,5.0,5
Ca-Mn,0.625;0.375,2,2,8,12.0,16
Sb-Zn,0.375;0.625,2,2,16,16.0,16
Cr-Mo,0.444444;0.555556,2,2,9,13.5,18
Ba-Y,0.2;0.8,2,2,5,12.5,20
Ag-Nb,0.2;0.8,2,2,5,5.0,5
Os-Tc,0.444444;0.555556,2,2,9,13.5,18
C-Sc,0.555556;0.444444,2,2,9,13.5,18
C-Si,0.444444;0.555556,2,2,9,13.5,18
Ti-V,0.2;0.8,2,2,5,5.0,5
Pt-Re,0.428571;0.571429,2,2,7,7.0,7
Mn-Ru,0.444444;0.555556,2,2,9,13.5,18
Ni-Tl,0.444444;0.555556,2,2,9,13.5,18
Ga-Tl,0.375;0.625,2,2,8,12.0,16
Ga-Os,0.375;0.625,2,2,8,12.0,16
Fe-Zr,0.555556;0.444444,2,2,9,13.5,18
Ca-Zn,0.2;0.8,2,2,5,5.0,5
Os-Sb,0.375;0.625,2,2,8,12.0,16
Ag-V,0.2;0.8,2,2,5,5.0,5
Ag-Te,0.444444;0.555556,2,2,9,13.5,18
Fe-Zn,0.375;0.625,2,2,8,12.0,16
In-Th,0.5;0.5,2,2,24,24.0,24
Be-Ni,0.8;0.2,2,2,5,12.5,20
Cl-Li,0.571429;0.428571,2,2,7,7.0,7
Bi-Ir,0.444444;0.555556,2,2,9,13.5,18
Hf-Li,0.8;0.2,2,2,5,5.0,5
Cl-Ir,0.6;0.4,2,2,5,7.5,10
W-Zn,0.375;0.625,2,2,8,12.0,16
As-V,0.555556;0.444444,2,2,9,13.5,18
O-Sn,0.3;0.7,2,2,10,10.0,10
Cu-In,0.555556;0.444444,2,2,9,13.5,18
Ga-Zr,0.166667;0.833333,2,2,6,6.0,6
Pd-Sr,0.444444;0.555556,2,2,9,13.5,18
Nb-Pb,0.4;0.6,2,2,5,7.5,10
Ru-Sn,0.166667;0.833333,2,2,6,6.0,6
Be-Co,0.555556;0.444444,2,2,9,13.5,18
Fe-Na,0.166667;0.833333,2,2,6,6.0,6
Cr-W,0.8;0.2,2,2,5,5.0,5
In-Sn,0.2;0.8,2,2,5,5.0,5
Ga-Tl,0.444444;0.555556,2,2,9,13.5,18
Br-Na,0.8;0.2,2,2,5,5.0,5
Br-Hf,0.2;0.8,2,2,5,5.0,5
Mo-Y,0.428571;0.571429,2,2,7,7.0,7
Ir-Zn,0.444444;0.555556,2,2,9,13.5,18
B-Y,0.545455;0.454545,2,2,11,11.0,11
Mn-Sr,0.8;0.2,2,2,5,5.0,5
Mo-O,0.258065;0.741935,2,2,62,62.0,62
Ir-Sn,0.428571;0.571429,2,2,7,7.0,7
Hg-Ti,0.444444;0.555556,2,2,9,13.5,18
Pd-Zr,0.444444;0.555556,2,2,9,13.5,18
Na-Si,0.833333;0.166667,2,2,6,6.0,6
Na-Re,0.833333;0.166667,2,2,6,6.0,6
Br-U,0.75;0.25,2,2,8,8.0,8
Rh-Se,0.4;0.6,2,2,5,12.5,20
Mn-Pb,0.555556;0.444444,2,2,9,13.5,18
Ge-Li,0.8;0.2,2,2,5,12.5,20
Al-Tc,0.444444;0.555556,2,2,9,13.5,18
C-Mo,0.888889;0.111111,2,2,9,9.0,9
Ge-V,0.8;0.2,2,2,5,12.5,20
Ca-Tl,0.571429;0.428571,2,2,7,7.0,7
Cd-Rh,0.444444;0.555556,2,2,9,13.5,18
Nb-Y,0.428571;0.571429,2,2,7,7.0,7
Os-Pt,0.375;0.625,2,2,16,16.0,16
Pb-Pt,0.444444;0.555556,2,2,9,13.5,18
Re-Sn,0.375;0.625,2,2,16,16.0,16
Sn-Zn,0.6;0.4,2,2,5,7.5,10
Bi-Ru,0.444444;0.555556,2,2,9,13.5,18
Os-Y,0.444444;0.555556,2,2,9,13.5,18
Au-Tl,0.571429;0.428571,2,2,7,7.0,7
Na-Rh,0.2;0.8,2,2,5,12.5,20
Pt-Te,0.571429;0.428571,2,2,7,7.0,7
V-Zr,0.571429;0.428571,2,2,7,7.0,7
Ir-W,0.555556;0.444444,2,2,9,13.5,18
As-K,0.625;0.375,2,2,8,12.0,16
Nb-Si,0.555556;0.444444,2,2,9,13.5,18
Br-Mo,0.428571;0.571429,2,2,7,7.0,7
Al-Hg,0.555556;0.444444,2,2,9,13.5,18
Cl-Na,0.8;0.2,2,2,5,5.0,5
Cd-Cl,0.428571;0.571429,2,2,7,7.0,7
Bi-Pd,0.285714;0.714286,2,2,14,14.0,14
As-Mo,0.571429;0.428571,2,2,7,7.0,7
Ga-Ge,0.2;0.8,2,2,5,12.5,20
Mg-Tb,0.75;0.25,2,2,4,4.0,4
Fe-Hf,0.444444;0.555556,2,2,9,13.5,18
N-Rh,0.2;0.8,2,2,5,5.0,5
Nb-Y,0.444444;0.555556,2,2,9,13.5,18
Mg-O,0.7;0.3,2,2,10,10.0,10
Be-Cd,0.428571;0.571429,2,2,7,7.0,7
Ba-Zr,0.4;0.6,2,2,5,7.5,10
Ag-Al,0.7;0.3,2,2,10,10.0,10
Pd-Se,0.571429;0.428571,2,2,7,7.0,7
Ba-Pd,0.6;0.4,2,2,5,5.0,5
Hf-Ir,0.555556;0.444444,2,2,9,13.5,18
Pt-Sr,0.444444;0.555556,2,2,9,22.5,36
Cr-Sr,0.444444;0.555556,2,2,9,13.5,18
Cu-Pt,0.555556;0.444444,2,2,9,13.5,18
Bi-Ge,0.2;0.8,2,2,5,12.5,20
As-K,0.555556;0.444444,2,2,9,13.5,18
As-Pd,0.555556;0.444444,2,2,9,13.5,18
Ga-Pb,0.625;0.375,2,2,8,12.0,16
Cd-V,0.555556;0.444444,2,2,9,13.5,18
Dy-Mg,0.25;0.75,2,2,4,4.0,4
Cs-Hg,0.0689655;0.931034,2,2,87,87.0,87
Be-Mo,0.8;0.2,2,2,5,5.0,5
Ag-Sn,0.555556;0.444444,2,2,9,13.5,18
Al-Pt,0.4;0.6,2,2,5,7.5,10
Rh-Zr,0.555556;0.444444,2,2,9,13.5,18
